text;label;source_type;notes
Spurs had a favorable whistle, held Brunson in check, and still trailed by four at halftime.;evidence_based_analysis;game_thread;
Neither foul on KAT was a foul, then Brunson was hit twice without a call.;evidence_based_analysis;game_thread;
The Knicks did not get a single free throw that quarter.;evidence_based_analysis;game_thread;
Two soft fouls on KAT changed the momentum while the Knicks were dominating.;evidence_based_analysis;game_thread;
Brunson was being held off-ball, which made the officiating especially damaging.;evidence_based_analysis;game_thread;
KAT had cut down his bad fouls, but switching onto Wemby could still create trouble.;evidence_based_analysis;daily_discussion;
Mitchell's finger injury could affect his ability to fight Wemby for position.;evidence_based_analysis;daily_discussion;
The injury may hurt Mitchell's rebounding and ability to catch lobs.;evidence_based_analysis;daily_discussion;
San Antonio stopped SGA by sending multiple defenders while his teammates were injured.;evidence_based_analysis;daily_discussion;
That scheme is harder against New York because KAT, Bridges, and OG can create shots.;evidence_based_analysis;daily_discussion;
Brunson scored 25 points on 27 shots with 41/20/50 splits in the cup game.;evidence_based_analysis;daily_discussion;
His shooting percentage stayed within three points across all three matchups.;evidence_based_analysis;daily_discussion;
New York's extra rest and home-court steal could favor them in a longer series.;evidence_based_analysis;daily_discussion;
The Spurs played weaker opponents than New York in the first two rounds.;evidence_based_analysis;daily_discussion;
Reggie averaged 24/3/3 on 46/41/89 across his first twelve playoff seasons.;evidence_based_analysis;player_debate;
DeRozan has shot 42 percent overall and 21 percent from three in the playoffs.;evidence_based_analysis;player_debate;
Reggie made five All-Star teams in twenty years and never made First Team All-NBA.;evidence_based_analysis;player_debate;
Reggie's playoff prime was 24/3/3 on 61 percent true shooting.;evidence_based_analysis;player_debate;
DeRozan's playoff prime was 22/5/4 on 50 percent true shooting.;evidence_based_analysis;player_debate;
Reggie's 24 points per game came when teams often scored under eighty.;evidence_based_analysis;player_debate;
Carmelo only advanced past the first round twice in his career.;evidence_based_analysis;player_debate;
Iverson combined high scoring with middling efficiency and weak defense.;evidence_based_analysis;player_debate;
Jimmy made All-NBA three times in five Miami seasons.;evidence_based_analysis;player_debate;
Miami's injuries explain more of its regular-season decline than Jimmy does.;evidence_based_analysis;player_debate;
LaMelo's repeated failure to reach sixty games makes injury the norm, not an exception.;evidence_based_analysis;player_debate;
LaMelo often kills runs with early deep shots and gives little defensive effort.;evidence_based_analysis;player_debate;
Modern sports medicine and training would help historical greats adapt to today's game.;evidence_based_analysis;era_debate;
Earlier eras had a smaller talent pool because global scouting was limited.;evidence_based_analysis;era_debate;
The league's global reach and scouting are much stronger now than in past eras.;evidence_based_analysis;era_debate;
Oscar's reputation fell after triple-doubles stopped appearing untouchable.;evidence_based_analysis;historical_debate;
Older rankings valued the eye test more and countable awards less.;evidence_based_analysis;historical_debate;
Ring and Finals MVP arguments became much more common in recent decades.;evidence_based_analysis;historical_debate;
Late-game free throws limited Shaq and forced Kobe to take over.;evidence_based_analysis;goat_debate;
Duncan led a twenty-year fifty-win run and won four championships.;evidence_based_analysis;goat_debate;
Kareem's top-two reputation rose during LeBron-versus-Jordan debates.;evidence_based_analysis;goat_debate;
GOAT arguments fail when people do not define peak, longevity, or championships.;evidence_based_analysis;goat_debate;
Carrying and gather-step allowances increased modern offensive variety.;evidence_based_analysis;goat_debate;
Different eras used distinct rules, training conditions, and styles of play.;evidence_based_analysis;goat_debate;
San Antonio's inexperience showed through a series of costly turnovers.;evidence_based_analysis;post_game_thread;
Their fearless style helped earlier, but backfired under late-game pressure.;evidence_based_analysis;post_game_thread;
A timeout made sense because New York had already recovered defensively.;evidence_based_analysis;post_game_thread;
San Antonio erased the deficit, then killed the run by fouling a three-point shooter.;evidence_based_analysis;post_game_thread;
Fox handled the ball well, but the eye test showed poor shot-making.;evidence_based_analysis;post_game_thread;
Shooting 3-for-14 and 0-for-4 from three functioned like repeated turnovers.;evidence_based_analysis;post_game_thread;
Fox creates plays but repeatedly misses open midrange attempts.;evidence_based_analysis;post_game_thread;
Wemby, Fox, and Vassell all struggled to make shots for most of the game.;evidence_based_analysis;post_game_thread;
The new post-game layout takes five taps to find turnovers and cannot scroll sideways.;evidence_based_analysis;community_meta;
The new layout hides navigation and displays too many individual statistics.;evidence_based_analysis;community_meta;
MVP and Finals MVP mean different things across eras, weakening direct rankings.;evidence_based_analysis;goat_debate;
All-Star selections were once more heavily shaped by popularity voting.;evidence_based_analysis;goat_debate;
Lillard has reasons to leave, while Curry has had no reason to leave Golden State.;reasoned_opinion;legacy_debate;
It is easier to stay loyal to a great organization than a poorly run one.;reasoned_opinion;legacy_debate;
Loyalty becomes unreasonable when a team refuses to build a contender.;reasoned_opinion;legacy_debate;
Dame is not top thirty all time, so loyalty does not change that debate.;reasoned_opinion;legacy_debate;
Even without Curry, Dame is not clearly the best guard of his era.;reasoned_opinion;legacy_debate;
Lillard appears to value staying in Portland more than maximizing legacy points.;reasoned_opinion;legacy_debate;
LeBron leaving Cleveland became understandable because the organization gave him little support.;reasoned_opinion;legacy_debate;
All-time rankings are useful because fans enjoy making arguments about basketball.;reasoned_opinion;goat_debate;
The NBA 75 list created year-round debate and kept the league relevant.;reasoned_opinion;goat_debate;
Short ranking debates are fun, but endless television arguments become pointless.;reasoned_opinion;goat_debate;
Decade-based rankings are more reasonable than one universal all-time list.;reasoned_opinion;goat_debate;
Reggie is underrated because older players and off-ball styles are often overlooked.;reasoned_opinion;player_debate;
Indiana had a real championship chance before the Malice at the Palace.;reasoned_opinion;player_debate;
Being an elite three-point shooter for years should raise Reggie's historical standing.;reasoned_opinion;player_debate;
Denver's roster was not built to beat the Lakers, Spurs, Suns, and Mavericks.;reasoned_opinion;player_debate;
Jamal is Denver's second option, while Jimmy is Miami's first option.;reasoned_opinion;player_debate;
LaMelo is overrated because chronic availability problems limit his value.;reasoned_opinion;player_debate;
Wemby is discussed differently because fans treat him as future greatness already achieved.;reasoned_opinion;player_debate;
Miami's trade does not move them closer to a title because the roster remains thin.;reasoned_opinion;trade_discussion;
A superstar surrounded by replacement-level teammates is not enough to win now.;reasoned_opinion;trade_discussion;
Modern contenders need reliable wings, shooting, and perimeter defense.;reasoned_opinion;trade_discussion;
Mitchell, Wiggins, Giannis, and Bam provide more defense than critics admit.;reasoned_opinion;trade_discussion;
